Company,Model,Year,Rating
acura,cl,2001,4.114754098360656
acura,cl,2002,3.9761904761904763
acura,cl,2003,4.116564417177914
acura,ilx,2013,4.416666666666667
acura,ilx,2014,4.166666666666667
acura,ilx,2015,4.2
acura,ilx,2016,4.083333333333333
acura,ilx,2017,3.6666666666666665
acura,ilx,2018,4.166666666666667
acura,ilx,2019,4.0
acura,ilx,2020,4.230769230769231
acura,integra,2000,4.326530612244898
acura,integra,2001,4.482758620689655
acura,mdx,2001,4.044943820224719
acura,mdx,2002,4.073684210526316
acura,mdx,2003,4.17
acura,mdx,2004,4.21
acura,mdx,2005,4.075
acura,mdx,2006,4.056818181818182
acura,mdx,2007,4.169312169312169
acura,mdx,2008,4.030769230769231
acura,mdx,2009,3.7714285714285714
acura,mdx,2010,3.986666666666667
acura,mdx,2011,3.890909090909091
acura,mdx,2012,3.772727272727273
acura,mdx,2013,4.071428571428571
acura,mdx,2014,3.8072289156626504
acura,mdx,2015,3.5
acura,mdx,2016,3.2564102564102564
acura,mdx,2017,3.8658536585365852
acura,mdx,2018,3.8863636363636362
acura,mdx,2019,4.419354838709677
acura,mdx,2020,4.483870967741935
acura,nsx,2002,4.695652173913044
acura,nsx,2003,4.6
acura,nsx,2004,4.8
acura,nsx,2005,4.533333333333333
acura,nsx,2017,5.0
acura,nsx,2020,5.0
acura,rdx,2007,4.043478260869565
acura,rdx,2008,4.0
acura,rdx,2009,3.7555555555555555
acura,rdx,2010,3.8461538461538463
acura,rdx,2011,4.285714285714286
acura,rdx,2012,3.5555555555555554
acura,rdx,2013,3.7875
acura,rdx,2014,3.875
acura,rdx,2015,4.08
acura,rdx,2016,4.1891891891891895
acura,rdx,2017,4.284090909090909
acura,rdx,2018,4.125
acura,rdx,2019,3.28
acura,rdx,2020,4.209677419354839
acura,rl,2000,4.195121951219512
acura,rl,2001,4.153846153846154
acura,rl,2002,4.1692307692307695
acura,rl,2003,4.24
acura,rl,2004,4.2375
acura,rl,2005,4.285
acura,rl,2006,4.303030303030303
acura,rl,2007,4.2
acura,rl,2008,4.333333333333333
acura,rl,2009,4.235294117647059
acura,rl,2010,4.625
acura,rl,2011,3.8
acura,rl,2012,4.5
acura,rlx,2014,3.6
acura,rlx,2015,4.0
acura,rlx,2016,4.75
acura,rlx,2017,5.0
acura,rlx,2018,4.875
acura,rlx,2020,5.0
acura,rsx,2002,4.385
acura,rsx,2003,4.33
acura,rsx,2004,4.363157894736842
acura,rsx,2005,4.366071428571429
acura,rsx,2006,4.425531914893617
acura,tl,2000,4.03125
acura,tl,2001,3.8857142857142857
acura,tl,2002,3.981132075471698
acura,tl,2003,4.07
acura,tl,2004,4.35
acura,tl,2005,4.14
acura,tl,2006,4.215
acura,tl,2007,4.196808510638298
acura,tl,2008,4.184210526315789
acura,tl,2009,4.316546762589928
acura,tl,2010,4.230769230769231
acura,tl,2011,4.714285714285714
acura,tl,2012,3.9814814814814814
acura,tl,2013,4.391304347826087
acura,tl,2014,4.571428571428571
acura,tlx,2015,3.673469387755102
acura,tlx,2016,3.8181818181818183
acura,tlx,2017,3.75
acura,tlx,2018,4.105263157894737
acura,tlx,2019,4.0625
acura,tlx,2020,4.571428571428571
acura,tsx,2004,4.51
acura,tsx,2005,4.29
acura,tsx,2006,4.425
acura,tsx,2007,4.4375
acura,tsx,2008,4.303030303030303
acura,tsx,2009,4.324742268041237
acura,tsx,2010,4.150537634408602
acura,tsx,2011,4.117647058823529
acura,tsx,2012,4.407407407407407
acura,tsx,2013,4.375
acura,tsx,2014,5.0
acura,tsx-sport-wagon,2011,4.368421052631579
acura,tsx-sport-wagon,2012,4.238095238095238
acura,tsx-sport-wagon,2013,4.666666666666667
acura,tsx-sport-wagon,2014,5.0
acura,zdx,2010,4.066666666666666
acura,zdx,2011,4.0
acura,zdx,2012,3.75
alfa-romeo,4c,2015,4.8
alfa-romeo,4c,2018,5.0
alfa-romeo,giulia,2017,4.258620689655173
alfa-romeo,giulia,2018,4.03030303030303
alfa-romeo,giulia,2019,4.611111111111111
alfa-romeo,giulia,2020,5.0
alfa-romeo,stelvio,2018,4.318181818181818
alfa-romeo,stelvio,2019,4.5625
alfa-romeo,stelvio,2020,4.833333333333333
aston-martin,db11,2018,5.0
aston-martin,db11,2019,5.0
aston-martin,db7,2002,3.6
aston-martin,db7,2003,4.666666666666667
aston-martin,db9,2005,4.1
aston-martin,db9,2006,3.8
aston-martin,db9,2008,4.0
aston-martin,db9,2009,4.0
aston-martin,dbs,2008,4.0
aston-martin,rapide,2010,5.0
aston-martin,rapide,2012,5.0
aston-martin,v12-vanquish,2002,4.3076923076923075
aston-martin,v12-vanquish,2003,4.444444444444445
aston-martin,v12-vanquish,2004,4.0
aston-martin,v12-vanquish,2005,4.0
aston-martin,v12-vanquish,2006,4.5
aston-martin,v12-vantage-s,2017,4.75
aston-martin,v8-vantage,2006,4.066666666666666
aston-martin,v8-vantage,2007,4.0
aston-martin,v8-vantage,2008,3.6666666666666665
aston-martin,v8-vantage,2009,3.6
aston-martin,v8-vantage,2010,4.0
aston-martin,v8-vantage,2011,4.0
aston-martin,v8-vantage,2012,4.5
aston-martin,v8-vantage,2015,4.5
audi,a3,2006,4.27683615819209
audi,a3,2007,4.26
audi,a3,2008,4.27027027027027
audi,a3,2009,3.727272727272727
audi,a3,2010,4.230769230769231
audi,a3,2011,3.6666666666666665
audi,a3,2012,5.0
audi,a3,2013,4.0
audi,a3,2015,3.6595744680851063
audi,a3,2016,4.6
audi,a3,2017,5.0
audi,a3,2018,4.0
audi,a3,2019,4.0
audi,a3,2020,3.0
audi,a3-sportback-e-tron,2016,4.0
audi,a3-sportback-e-tron,2017,4.8
audi,a3-sportback-e-tron,2018,4.2
audi,a4,2000,3.75
audi,a4,2001,3.7398373983739837
audi,a4,2002,4.17
audi,a4,2003,3.99
audi,a4,2004,4.12
audi,a4,2005,4.064935064935065
audi,a4,2006,4.144444444444445
audi,a4,2007,4.110344827586207
audi,a4,2008,4.107142857142857
audi,a4,2009,3.8344827586206898
audi,a4,2010,3.909090909090909
audi,a4,2011,3.8076923076923075
audi,a4,2012,3.380952380952381
audi,a4,2013,4.05
audi,a4,2014,4.533333333333333
audi,a4,2015,4.75
audi,a4,2016,3.6666666666666665
audi,a4,2017,4.435483870967742
audi,a4,2018,4.653846153846154
audi,a4,2019,4.153846153846154
audi,a4,2020,4.5
audi,a4-allroad,2017,4.625
audi,a4-allroad,2018,4.142857142857143
audi,a4-allroad,2019,4.5
audi,a5,2008,4.384615384615385
audi,a5,2009,4.3125
audi,a5,2010,4.487804878048781
audi,a5,2011,3.962962962962963
audi,a5,2012,4.142857142857143
audi,a5,2013,4.428571428571429
audi,a5,2014,4.8
audi,a5,2015,4.454545454545454
audi,a5,2016,5.0
audi,a5,2017,3.3333333333333335
audi,a5,2018,4.647058823529412
audi,a5,2019,4.777777777777778
audi,a5,2020,5.0
audi,a6,2000,3.7857142857142856
audi,a6,2001,3.84070796460177
audi,a6,2002,3.839622641509434
audi,a6,2003,3.8627450980392157
audi,a6,2004,4.184782608695652
audi,a6,2005,4.234375
audi,a6,2006,4.2272727272727275
audi,a6,2007,4.24
audi,a6,2008,4.375
audi,a6,2009,3.9
audi,a6,2010,4.086956521739131
audi,a6,2011,4.0
audi,a6,2012,4.676470588235294
audi,a6,2013,4.388888888888889
audi,a6,2014,4.357142857142857
audi,a6,2015,4.538461538461538
audi,a6,2016,4.487179487179487
audi,a6,2017,4.529411764705882
audi,a6,2018,4.875
audi,a6,2019,4.6
audi,a6,2020,4.25
audi,a6-allroad,2020,5.0
audi,a7,2012,4.166666666666667
audi,a7,2013,4.25
audi,a7,2014,5.0
audi,a7,2015,3.5
audi,a7,2016,5.0
audi,a7,2017,4.5
audi,a7,2018,5.0
audi,a7,2019,2.0
audi,a7,2020,5.0
audi,a8,2000,4.384615384615385
audi,a8,2001,3.9375
audi,a8,2002,4.142857142857143
audi,a8,2003,3.888888888888889
audi,a8,2004,4.1521739130434785
audi,a8,2005,4.163043478260869
audi,a8,2006,4.4411764705882355
audi,a8,2007,4.515151515151516
audi,a8,2008,4.3
audi,a8,2009,4.4
audi,a8,2010,5.0
audi,a8,2011,4.0
audi,a8,2012,4.5
audi,a8,2013,4.5
audi,a8,2014,4.428571428571429
audi,a8,2015,4.777777777777778
audi,a8,2016,4.555555555555555
audi,a8,2017,4.0
audi,a8,2019,3.75
audi,allroad,2013,4.888888888888889
audi,allroad,2014,4.333333333333333
audi,allroad-quattro,2001,3.814814814814815
audi,allroad-quattro,2002,3.9285714285714284
audi,allroad-quattro,2003,3.963636363636364
audi,allroad-quattro,2004,4.137254901960785
audi,allroad-quattro,2005,4.241379310344827
audi,e-tron,2019,4.105263157894737
audi,q3,2015,4.0
audi,q3,2016,4.333333333333333
audi,q3,2017,3.9285714285714284
audi,q3,2018,4.5
audi,q3,2019,2.9
audi,q3,2020,4.416666666666667
audi,q5,2009,4.293103448275862
audi,q5,2010,4.222222222222222
audi,q5,2011,3.8620689655172415
audi,q5,2012,3.6136363636363638
audi,q5,2013,4.0625
audi,q5,2014,3.857142857142857
audi,q5,2015,4.0
audi,q5,2016,4.456521739130435
audi,q5,2017,4.055555555555555
audi,q5,2018,3.670103092783505
audi,q5,2019,4.428571428571429
audi,q5,2020,3.3333333333333335
audi,q7,2007,3.8160919540229883
audi,q7,2008,3.769230769230769
audi,q7,2009,3.5
audi,q7,2010,4.666666666666667
audi,q7,2011,3.7142857142857144
audi,q7,2012,4.142857142857143
audi,q7,2013,4.625
audi,q7,2014,3.7
